datetime,headline,id,image,related,source,summary,url
2025-02-12 20:50:00+00:00,Janus Henderson Global Technology And Innovation Fund Q4 2024 Commentary,132698749,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2066272044/image_2066272044.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,The Janus Henderson Global Technology And Innovation Fund returned 3.20% and the S&P 500Â® Index returned 2.41%. Click here to read the full commentary. ,https://finnhub.io/api/news?id=904f7ccc60771c0b297ee22b5317ab71f86da4e49d01a0d50eaf874ba8d25604
2025-02-12 20:00:25+00:00,Qualcomm: Moving Beyond Apple,132698593,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1705316992/image_1705316992.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,"Qualcomm's diversification into AI, IoT, and automotive aims for $22B non-handset revenue by 2029. Read here for my QCOM stock earnings update.",https://finnhub.io/api/news?id=e0d77ca35a58f75c77ac59a3c8cbddf45c99e95680077e4cbb848ff0d2c7e96a
2025-02-12 16:58:00+00:00,Trump’s Proposed Chip Tariffs Threaten AI—and the Entire Stock Market,132701765,,AAPL,MarketWatch,Trump’s Proposed Chip Tariffs Threaten AI—and the Entire Stock Market,https://finnhub.io/api/news?id=e5ae0f5511b0486f62308632ba030aaf250f5b02d7d94a81830cadda99d222bd
2025-02-12 14:09:00+00:00,Janus Henderson Balanced Fund Q4 2024 Commentary,132681243,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/598985780/image_598985780.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,The Fund returned 0.07% and the S&P 500Â® Index returned 2.41%. The Bloomberg U.S. Aggregate Bond Index returned -3.06%. The Balanced Index returned 0.21%.,https://finnhub.io/api/news?id=c150bfa408f56f48d21243ea076ee229e085b3b708084760e096fdc024d226f0
2025-02-12 13:28:41+00:00,"Apple Interested In Making Humanoid Robot, Top Analyst Says",132680562,,AAPL,DowJones,"Apple Interested In Making Humanoid Robot, Top Analyst Says",https://finnhub.io/api/news?id=f6e3a7d221ea117e2050db660831d7a0272a62abc48b388575b4ff06d1d44533
2025-02-12 13:23:14+00:00,Apple: Still Too Expensive For My Liking,132680448,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1386317934/image_1386317934.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,"Apple shares drop 9% in 2025 amid valuation concerns, despite strong fundamentals and growth in Services. Check out my key insights and challenges on AAPL stock.",https://finnhub.io/api/news?id=bcb05d377b3504f4b554b871202667f997eea28c3b53ced36f53b360aac02101
2025-02-12 11:45:00+00:00,Alibaba Stock Surges on Apple Collaboration Reported. Why China Tech Is Back in Style.,132680582,,AAPL,MarketWatch,Alibaba Stock Surges on Apple Collaboration Reported. Why China Tech Is Back in Style.,https://finnhub.io/api/news?id=b3026d9e10cf90e7eba48ea20fd96a54f45baad60e2fd1e904f2483e98338c55
2025-02-12 11:41:24+00:00,Alibaba Stock Rallies To Two-Year High After Apple AI News,132680565,,AAPL,DowJones,Alibaba Stock Rallies To Two-Year High After Apple AI News,https://finnhub.io/api/news?id=c86e4367292edd3f89277c3cddffc7bf822654d2479bc123af30efe078fcba02
2025-02-12 10:00:00+00:00,Biggest Gains in Financial Strength in the Management Top 250,132680566,,AAPL,DowJones,Biggest Gains in Financial Strength in the Management Top 250,https://finnhub.io/api/news?id=9e09d445619367827c9b819b5b563cb4b2c93f696d2994b9661f0a8b552c2091
2025-02-12 09:44:53+00:00,Berkshire Hathaway Puts Cash Reserves To Work Buying This Warren Buffett Favorite,132680567,,AAPL,DowJones,Berkshire Hathaway Puts Cash Reserves To Work Buying This Warren Buffett Favorite,https://finnhub.io/api/news?id=c321dcbef19da816723505f60023a5b6f74eb03f4baa6f3ccb02ac5e31b9f5c4
2025-02-12 09:31:08+00:00,Research Shows Warning Signs For Apple,132679657,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1481144868/image_1481144868.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,"Apple Inc. faces risks in a high P/E market with large debt exposure, predicting a -6.5% dip in downturns. Click for our updated view of AAPL stock post earnings.",https://finnhub.io/api/news?id=507e0e17abf5a4de9f843c308620a1f072c7b0821e85dd09c88d8a2310037ede
2025-02-12 07:03:00+00:00,Apple and Alibaba’s Marriage of Convenience Highlights a Big Tech Shift. Here’s Why and 5 Other Things to Know Today.,132680583,,AAPL,MarketWatch,Apple and Alibaba’s Marriage of Convenience Highlights a Big Tech Shift. Here’s Why and 5 Other Things to Know Today.,https://finnhub.io/api/news?id=d442434b8d53316d2cf18c831bfa9976e6e47ed509b36850f9e466673b6c90ec
2025-02-12 06:42:00+00:00,Alibaba’s stock gets boost from reported Apple Intelligence partnership,132680584,,AAPL,MarketWatch,Alibaba’s stock gets boost from reported Apple Intelligence partnership,https://finnhub.io/api/news?id=df5fc0de2696cca03f555ba27a7562f9d33428b41fe163b109a993b408b9a373
